message_id,channel_name,image_path,detected_objects,confidence_score,image_category
25497,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25497.jpg,bottle,0.5939,product_display
25498,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25498.jpg,bottle,0.744,product_display
25499,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25499.jpg,bottle,0.8124,product_display
25500,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25500.jpg,bottle,0.8619,product_display
25501,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25501.jpg,bottle,0.713,product_display
25502,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25502.jpg,,0.0,other
25503,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25503.jpg,,0.0,other
25504,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25504.jpg,"book,bottle,refrigerator,bottle",0.2932,product_display
25505,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25505.jpg,refrigerator,0.3814,other
25506,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25506.jpg,,0.0,other
25507,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25507.jpg,,0.0,other
25508,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25508.jpg,,0.0,other
25509,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25509.jpg,,0.0,other
25510,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25510.jpg,bottle,0.8076,product_display
25511,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25511.jpg,bottle,0.7326,product_display
25512,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25512.jpg,"person,book",0.4573,lifestyle
25513,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25513.jpg,bottle,0.5939,product_display
25514,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25514.jpg,,0.0,other
25515,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25515.jpg,,0.0,other
25516,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25516.jpg,,0.0,other
25517,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25517.jpg,,0.0,other
25518,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25518.jpg,,0.0,other
25519,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25519.jpg,"bottle,bottle,dining table,bottle,bottle,cup,bottle,bottle,bottle,bottle,bottle,bottle",0.5097,product_display
